SSIP,SDFP,SDFB,SFE,RFIP,CPU,APS,ABPS,SUBARP,MISS_MAC,DDOS,SLOW-RATE,MITM,TAGS
3,0.0,0.0,3,1.0,4.1,6.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,7.4,4.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,0.8,4.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,0.0,8.0,0.0,4,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,2.5,6.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,0.8,6.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,1.0,2.5,6.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
3,0.0,0.0,3,0.3333333333333333,6.8,2.0,30.0,2,1,1,1,1,DDOS Slow Rate MITM 
23,0.27467032417472503,12.63483491203735,23,0.782608695652174,2.5,2.0,55.0,2,1,1,1,1,DDOS Slow Rate MITM 
25,0.22939534045447013,10.552185660905621,25,1.16,4.3,2.0,103.0,2,1,1,1,1,DDOS Slow Rate MITM 
27,0.1747356414092392,8.037839504825001,27,2.074074074074074,4.2,2.0,65.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.15811075584876141,7.273094769043025,30,2.3,3.4,52.0,52.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.1458629058501161,6.709693669105343,30,2.7666666666666666,7.0,74.0,138.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.12829896443190106,5.901752363867452,31,3.7096774193548385,4.2,122.0,73.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.12104468847907593,5.568055670037492,31,3.838709677419355,6.8,144.0,67.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,3.967741935483871,4.3,148.0,98.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,4.225806451612903,8.5,152.0,63.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,3.6551724137931036,1.7,100.0,58.0,8,1,1,1,1,DDOS Slow Rate MITM 
27,0.0,0.0,27,3.740740740740741,0.0,74.0,94.0,2,1,1,1,1,DDOS Slow Rate MITM 
28,0.0,0.0,28,3.6785714285714284,0.8,47.0,61.0,3,1,1,1,1,DDOS Slow Rate MITM 
30,0.0,0.0,30,2.5,6.8,26.0,103.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.25,0.0,30.0,62.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.28125,1.7,38.0,56.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,1.6875,0.9,34.0,98.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.0,2.5,42.0,50.0,2,1,1,1,1,DDOS Slow Rate MITM 
32,0.0,0.0,32,2.03125,1.7,50.0,61.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.3225806451612905,0.9,50.0,118.0,2,1,1,1,1,DDOS Slow Rate MITM 
31,0.0,0.0,31,2.7096774193548385,1.7,60.0,40.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.6551724137931036,4.2,64.0,22.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.0,0.0,29,2.413793103448276,0.0,64.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
27,0.0,0.0,27,2.2222222222222223,0.0,92.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
27,0.0,0.0,27,1.7407407407407407,0.0,86.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
24,0.0,0.0,24,1.625,2.5,76.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,1.7,72.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,0.8,62.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,0.8,54.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,1.7,34.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,0.0,18.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,3.3,4.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
12,0.0,0.0,12,0.75,1.7,2.0,0.0,2,1,1,1,1,DDOS Slow Rate MITM 
16,0.0,0.0,16,0.6875,0.8,2.0,29.0,2,1,1,1,1,DDOS Slow Rate MITM 
21,0.0,0.0,21,1.4285714285714286,4.3,2.0,95.0,2,1,1,1,1,DDOS Slow Rate MITM 
27,0.09365491366600322,4.308126028636147,27,1.962962962962963,2.5,2.0,72.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.08110893188023768,3.731010866490934,29,2.586206896551724,1.7,2.0,58.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.07392101124765775,3.400366517392256,29,2.8275862068965516,1.7,46.0,139.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.06608122444438319,3.039736324441625,29,2.8275862068965516,0.8,76.0,67.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.06349954308242155,2.920978981791391,29,3.103448275862069,0.8,122.0,59.0,2,1,1,1,1,DDOS Slow Rate MITM 
30,0.06063349345075641,2.7891406987347938,30,3.4,0.8,128.0,114.0,2,1,1,1,1,DDOS Slow Rate MITM 
29,0.06166219244810499,2.8364608526128308,29,3.4827586206896552,0.8,144.0,62.0,2,1,1,1,1,DDOS Slow Rate MITM 
