OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=9.866s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=22.33.169.208,nw_dst=10.20.0.10,nw_tos=0,tp_src=19592,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.861s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=83.230.191.94,nw_dst=10.20.0.10,nw_tos=0,tp_src=19593,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.829s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=244.89.139.120,nw_dst=10.20.0.10,nw_tos=0,tp_src=19594,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.828s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=123.131.34.255,nw_dst=10.20.0.10,nw_tos=0,tp_src=19597,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.817s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=125.108.240.120,nw_dst=10.20.0.10,nw_tos=0,tp_src=19608,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.817s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=239.18.101.199,nw_dst=10.20.0.10,nw_tos=0,tp_src=19610,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.809s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=255.45.33.15,nw_dst=10.20.0.10,nw_tos=0,tp_src=19611,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.804s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=213.51.43.218,nw_dst=10.20.0.10,nw_tos=0,tp_src=19612,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.785s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=161.81.157.9,nw_dst=10.20.0.10,nw_tos=0,tp_src=19619,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.778s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=68.176.81.6,nw_dst=10.20.0.10,nw_tos=0,tp_src=19620,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.765s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=99.199.17.68,nw_dst=10.20.0.10,nw_tos=0,tp_src=19621,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.738s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=250.239.32.139,nw_dst=10.20.0.10,nw_tos=0,tp_src=19622,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.738s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=33.127.129.119,nw_dst=10.20.0.10,nw_tos=0,tp_src=19623,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.738s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=160.1.33.51,nw_dst=10.20.0.10,nw_tos=0,tp_src=19624,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.720s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=125.245.82.25,nw_dst=10.20.0.10,nw_tos=0,tp_src=19625,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.719s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=121.254.123.72,nw_dst=10.20.0.10,nw_tos=0,tp_src=19626,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.705s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=160.33.254.231,nw_dst=10.20.0.10,nw_tos=0,tp_src=19627,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.697s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=176.103.199.192,nw_dst=10.20.0.10,nw_tos=0,tp_src=19628,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.692s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=101.43.67.34,nw_dst=10.20.0.10,nw_tos=0,tp_src=19629,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.669s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=161.4.243.75,nw_dst=10.20.0.10,nw_tos=0,tp_src=19630,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.669s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=146.25.243.97,nw_dst=10.20.0.10,nw_tos=0,tp_src=19631,tp_dst=80 actions=output:49
 cookie=0x0, duration=9.669s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7e:ac:cb:99:50:bc,dl_dst=fe:cc:75:b9:6e:9e,nw_src=22.245.205.61,nw_dst=10.20.0.10,nw_tos=0,tp_src=19632,tp_dst=80 actions=output:49
