 cookie=0x0, duration=6.586s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=72:2c:7e:11:b7:03,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.4,nw_dst=10.60.0.18,nw_tos=0,tp_src=53040,tp_dst=80 actions=output:49
 cookie=0x0, duration=6.541s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=34,vlan_tci=0x0000/0x1fff,dl_src=12:42:36:87:e0:c8,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.34,nw_dst=10.60.0.48,nw_tos=0,tp_src=50210,tp_dst=80 actions=output:51
 cookie=0x0, duration=6.511s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=4e:69:5f:96:39:68,dl_dst=1e:a0:45:70:4d:ec,nw_src=10.10.0.2,nw_dst=10.10.0.7,nw_tos=0,tp_src=43916,tp_dst=80 actions=output:7
 cookie=0x0, duration=6.363s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=5,vlan_tci=0x0000/0x1fff,dl_src=da:e9:9e:8b:50:2c,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.5,nw_dst=10.50.0.24,nw_tos=0,tp_src=42792,tp_dst=80 actions=output:49
 cookie=0x0, duration=6.298s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=9,vlan_tci=0x0000/0x1fff,dl_src=c6:5b:21:9f:e2:b7,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.9,nw_dst=10.60.0.22,nw_tos=0,tp_src=46987,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.699s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=14,vlan_tci=0x0000/0x1fff,dl_src=0a:7c:f7:7c:48:ad,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.14,nw_dst=10.50.0.17,nw_tos=0,tp_src=45125,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.657s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=15,vlan_tci=0x0000/0x1fff,dl_src=d2:cb:88:84:13:7f,dl_dst=36:a8:a4:cd:40:dd,nw_src=10.20.0.15,nw_dst=10.60.0.20,nw_tos=0,tp_src=49685,tp_dst=80 actions=output:50
 cookie=0x0, duration=5.587s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=72:2c:7e:11:b7:03,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.4,nw_dst=10.60.0.9,nw_tos=0,tp_src=50529,tp_dst=80 actions=output:49
 cookie=0x0, duration=5.540s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=34,vlan_tci=0x0000/0x1fff,dl_src=12:42:36:87:e0:c8,dl_dst=76:b5:86:df:02:a3,nw_src=10.50.0.34,nw_dst=10.10.0.41,nw_tos=0,tp_src=56093,tp_dst=80 actions=output:51
 cookie=0x0, duration=5.528s, table=0, n_packets=1, n_bytes=46, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,udp,in_port=6,vlan_tci=0x0000/0x1fff,dl_src=ca:c5:0e:57:5e:ef,dl_dst=fe:cc:75:b9:6e:9e,nw_src=10.10.0.6,nw_dst=10.50.0.33,nw_tos=0,tp_src=39717,tp_dst=80 actions=output:49
